il;ilce;vergi_dairesi
SAKARYA;Merkez;Ali Fuat Cebesoy Vergi Dairesi Müdürlüğü
SAKARYA;Sapanca;Sapanca Vergi Dairesi Müdürlüğü
SAKARYA;Akyazı;Akyazı Vergi Dairesi Müdürlüğü
SAKARYA;Geyve;Geyve Vergi Dairesi Müdürlüğü
SAKARYA;Hendek;Hendek Vergi Dairesi Müdürlüğü
SAKARYA;Karasu;Karasu Vergi Dairesi Müdürlüğü
SAKARYA;Pamukova;Pamukova Vergi Dairesi Müdürlüğü
SAKARYA;Kaynarca;Kaynarca Vergi Dairesi Müdürlüğü
SAKARYA;Kocaali;Kocaali Vergi Dairesi Müdürlüğü
SAKARYA;Karapürçek;Karapürçek Vergi Dairesi Müdürlüğü
SAKARYA;Taraklı;Taraklı Malmüdürlüğü
SAMSUN;Merkez;19 Mayıs Vergi Dairesi Müdürlüğü
SAMSUN;Merkez;Gaziler Vergi Dairesi Müdürlüğü
SAMSUN;Merkez;Zafer Vergi Dairesi Müdürlüğü
SAMSUN;Bafra;Bafra Vergi Dairesi Müdürlüğü
SAMSUN;Çarşamba;Çarşamba Vergi Dairesi Müdürlüğü
SAMSUN;Terme;Terme Vergi Dairesi Müdürlüğü
SAMSUN;Havza;Havza Vergi Dairesi Müdürlüğü
SAMSUN;Vezirköprü;Vezirköprü Vergi Dairesi Müdürlüğü
SAMSUN;19 Mayıs;19 Mayıs Ballıca Vergi Dairesi Müdürlüğü
SAMSUN;Kavak;Kavak Vergi Dairesi Müdürlüğü
SAMSUN;Salıpazarı;Salıpazarı Vergi Dairesi Müdürlüğü
SAMSUN;Alaçam;Alaçam Vergi Dairesi Müdürlüğü
SAMSUN;Ladik;Ladik Vergi Dairesi Müdürlüğü
SAMSUN;Asarcık;Asarcık Vergi Dairesi Müdürlüğü
SAMSUN;Yakakent;Yakakent Vergi Dairesi Müdürlüğü
SAMSUN;Ayvacık;Ayvacık Malmüdürlüğü
SİİRT;Merkez;Siirt Vergi Dairesi Müdürlüğü
SİİRT;Kurtalan;Kurtalan Vergi Dairesi Müdürlüğü
SİİRT;Baykan;Baykan Vergi Dairesi Müdürlüğü
SİİRT;Eruh;Eruh Malmüdürlüğü
SİİRT;Pervari;Pervari Malmüdürlüğü
SİİRT;Şirvan;Şirvan Malmüdürlüğü
SİNOP;Merkez;Sinop Vergi Dairesi Müdürlüğü
SİNOP;Boyabat;Boyabat Vergi Dairesi Müdürlüğü
SİNOP;Ayancık;Ayancık Vergi Dairesi Müdürlüğü
SİNOP;Gerze;Gerze Vergi Dairesi Müdürlüğü
SİNOP;Türkeli;Türkeli Vergi Dairesi Müdürlüğü
SİNOP;Durağan;Durağan Vergi Dairesi Müdürlüğü
SİNOP;Erfelek;Erfelek Vergi Dairesi Müdürlüğü
SİNOP;Dikmen;Dikmen Malmüdürlüğü
SİNOP;Saraydüzü;Saraydüzü Malmüdürlüğü
SİVAS;Merkez;Kale Vergi Dairesi Müdürlüğü
SİVAS;Merkez;Site Vergi Dairesi Müdürlüğü
SİVAS;Merkez;4 Eylül Vergi Dairesi Müdürlüğü
SİVAS;Hafik;Hafik Şubesi
SİVAS;İmranlı;İmranlı Şubesi
SİVAS;Koyulhisar;Koyulhisar Şubesi
SİVAS;Akıncılar;Akıncılar Şubesi
SİVAS;Altınyayla;Altınyayla Şubesi
SİVAS;Doğanşar;Doğanşar Şubesi
SİVAS;Gölova;Gölova Şubesi
SİVAS;Ulaş;Ulaş Şubesi
SİVAS;Şarkışla;Şarkışla Vergi Dairesi Müdürlüğü
SİVAS;Suşehri;Suşehri Vergi Dairesi Müdürlüğü
SİVAS;Yıldızeli;Yıldızeli Vergi Dairesi Müdürlüğü
SİVAS;Kangal;Kangal Vergi Dairesi Müdürlüğü
SİVAS;Zara;Zara Vergi Dairesi Müdürlüğü
SİVAS;Gemerek;Gemerek Vergi Dairesi Müdürlüğü
SİVAS;Gürün;Gürün Vergi Dairesi Müdürlüğü
SİVAS;Divriği;Divriği Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Merkez;Süleymanpaşa Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Merkez;Namık Kemal Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Çorlu;Çorlu İhtisas Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Çerkezköy;Çerkezköy Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Çorlu;Çorlu Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Hayrabolu;Hayrabolu Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Malkara;Malkara Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Muratlı;Muratlı Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Şarköy;Şarköy Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Kapaklı;Kapaklı Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Saray;Saray Vergi Dairesi Müdürlüğü
TEKİRDAĞ;Marmaraereğlisi;Marmaraereğlisi Vergi Dairesi Müdürlüğü
TOKAT;Merkez;Tokat Vergi Dairesi Müdürlüğü
TOKAT;Merkez;Topçam Vergi Dairesi Müdürlüğü
TOKAT;Artova;Artova Şubesi
TOKAT;Yeşilyurt;Yeşilyurt Şubesi
TOKAT;Başçiftlik;Başçiftlik Şubesi
TOKAT;Sulusaray;Sulusaray Şubesi
TOKAT;Erbaa;Erbaa Vergi Dairesi Müdürlüğü
TOKAT;Niksar;Niksar Vergi Dairesi Müdürlüğü
TOKAT;Turhal;Turhal Vergi Dairesi Müdürlüğü
TOKAT;Zile;Zile Vergi Dairesi Müdürlüğü
TOKAT;Reşadiye;Reşadiye Vergi Dairesi Müdürlüğü
TOKAT;Almus;Almus Vergi Dairesi Müdürlüğü
TOKAT;Pazar;Pazar Vergi Dairesi Müdürlüğü
TRABZON;Merkez;Hızırbey Vergi Dairesi Müdürlüğü
TRABZON;Merkez;Karadeniz Vergi Dairesi Müdürlüğü
TRABZON;Merkez;Ortahisar Vergi Dairesi Müdürlüğü
TRABZON;Dernekpazarı;Dernekpazarı Şubesi
TRABZON;Hayrat;Hayrat Şubesi
TRABZON;Köprübaşı;Köprübaşı Şubesi
TRABZON;Akçaabat;Akçaabat Vergi Dairesi Müdürlüğü
TRABZON;Of;Of Vergi Dairesi Müdürlüğü
TRABZON;Vakfıkebir;Vakfıkebir Vergi Dairesi Müdürlüğü
TRABZON;Araklı;Araklı Vergi Dairesi Müdürlüğü
TRABZON;Yomra;Yomra Vergi Dairesi Müdürlüğü
TRABZON;Sürmene;Sürmene Vergi Dairesi Müdürlüğü
TRABZON;Arsin;Arsin Vergi Dairesi Müdürlüğü
TRABZON;Çaykara;Çaykara Vergi Dairesi Müdürlüğü
TRABZON;Maçka;Maçka Vergi Dairesi Müdürlüğü
TRABZON;Beşikdüzü;Beşikdüzü Vergi Dairesi Müdürlüğü
TRABZON;Çarşıbaşı;Çarşıbaşı Vergi Dairesi Müdürlüğü
TRABZON;Tonya;Tonya Vergi Dairesi Müdürlüğü
TRABZON;Şalpazarı;Şalpazarı Vergi Dairesi Müdürlüğü
TRABZON;Düzköy;Düzköy Vergi Dairesi Müdürlüğü
TUNCELİ;Merkez;Tunceli Vergi Dairesi Müdürlüğü
TUNCELİ;Merkez;Munzur Vergi Dairesi Müdürlüğü
TUNCELİ;Çemişgezek;Çemişgezek Şubesi
TUNCELİ;Hozat;Hozat Şubesi
TUNCELİ;Mazgirt;Mazgirt Şubesi
TUNCELİ;Nazımiye;Nazımiye Şubesi
TUNCELİ;Ovacık;Ovacık Şubesi
TUNCELİ;Pertek;Pertek Şubesi
TUNCELİ;Pülümür;Pülümür Şubesi
ŞANLIURFA;Merkez;Şehitlik Vergi Dairesi Müdürlüğü
ŞANLIURFA;Merkez;Topçu Meydanı Vergi Dairesi Müdürlüğü
ŞANLIURFA;Merkez;Göbeklitepe Vergi Dairesi Müdürlüğü
ŞANLIURFA;Siverek;Siverek Vergi Dairesi Müdürlüğü
ŞANLIURFA;Viranşehir;Viranşehir Vergi Dairesi Müdürlüğü
ŞANLIURFA;Birecik;Birecik Vergi Dairesi Müdürlüğü
ŞANLIURFA;Suruç;Suruç Vergi Dairesi Müdürlüğü
ŞANLIURFA;Ceylanpınar;Ceylanpınar Vergi Dairesi Müdürlüğü
ŞANLIURFA;Akçakale;Akçakale Vergi Dairesi Müdürlüğü
ŞANLIURFA;Hilvan;Hilvan Vergi Dairesi Müdürlüğü
ŞANLIURFA;Bozova;Bozova Vergi Dairesi Müdürlüğü
ŞANLIURFA;Halfeti;Halfeti Vergi Dairesi Müdürlüğü
ŞANLIURFA;Harran;Harran Vergi Dairesi Müdürlüğü
UŞAK;Merkez;Uşak Vergi Dairesi Müdürlüğü
UŞAK;Banaz;Banaz Vergi Dairesi Müdürlüğü
UŞAK;Eşme;Eşme Vergi Dairesi Müdürlüğü
UŞAK;Sivaslı;Sivaslı Vergi Dairesi Müdürlüğü
UŞAK;Ulubey;Ulubey Vergi Dairesi Müdürlüğü
UŞAK;Karahallı;Karahallı Vergi Dairesi Müdürlüğü
VAN;Merkez;Van Vergi Dairesi Müdürlüğü
VAN;Merkez;Akdamar Vergi Dairesi Müdürlüğü
VAN;Çatak;Çatak Şubesi
VAN;Bahçesaray;Bahçesaray Şubesi
VAN;Saray;Saray Şubesi
VAN;Erciş;Erciş Vergi Dairesi Müdürlüğü
VAN;Özalp;Özalp Vergi Dairesi Müdürlüğü
VAN;Çaldıran;Çaldıran Vergi Dairesi Müdürlüğü
VAN;Edremit;Edremit Vergi Dairesi Müdürlüğü
VAN;Muradiye;Muradiye Vergi Dairesi Müdürlüğü
VAN;Gevaş;Gevaş Vergi Dairesi Müdürlüğü
VAN;Gürpınar;Gürpınar Vergi Dairesi Müdürlüğü
VAN;Başkale;Başkale Vergi Dairesi Müdürlüğü
YOZGAT;Merkez;Yozgat Vergi Dairesi Müdürlüğü
YOZGAT;Merkez;Çamlık Vergi Dairesi Müdürlüğü
YOZGAT;Çandır;Çandır Şubesi
YOZGAT;Kadışehri;Kadışehri Şubesi
YOZGAT;Yenifakılı;Yenifakılı Şubesi
YOZGAT;Boğazlıyan;Boğazlıyan Vergi Dairesi Müdürlüğü
YOZGAT;Sorgun;Sorgun Vergi Dairesi Müdürlüğü
YOZGAT;Yerköy;Yerköy Vergi Dairesi Müdürlüğü
YOZGAT;Akdağmadeni;Akdağmadeni Vergi Dairesi Müdürlüğü
YOZGAT;Şefaatli;Şefaatli Vergi Dairesi Müdürlüğü
YOZGAT;Sarıkaya;Sarıkaya Vergi Dairesi Müdürlüğü
YOZGAT;Çekerek;Çekerek Vergi Dairesi Müdürlüğü
YOZGAT;Çayıralan;Çayıralan Vergi Dairesi Müdürlüğü
YOZGAT;Aydıncık;Aydıncık Vergi Dairesi Müdürlüğü
YOZGAT;Saraykent;Saraykent Vergi Dairesi Müdürlüğü
ZONGULDAK;Merkez;Uzunmehmet Vergi Dairesi Müdürlüğü
ZONGULDAK;Merkez;Kara Elmas Vergi Dairesi Müdürlüğü
ZONGULDAK;Ereğli;Ereğli Vergi Dairesi Müdürlüğü
ZONGULDAK;Çaycuma;Çaycuma Vergi Dairesi Müdürlüğü
ZONGULDAK;Devrek;Devrek Vergi Dairesi Müdürlüğü
ZONGULDAK;Alaplı;Alaplı Vergi Dairesi Müdürlüğü
ZONGULDAK;Gökçebey;Gökçebey Vergi Dairesi Müdürlüğü
AKSARAY;Merkez;Aksaray Vergi Dairesi Müdürlüğü
AKSARAY;Ortaköy;Ortaköy Vergi Dairesi Müdürlüğü
AKSARAY;Eskil;Eskil Vergi Dairesi Müdürlüğü
AKSARAY;Gülağaç;Gülağaç Vergi Dairesi Müdürlüğü
AKSARAY;Ağaçören;Ağaçören Vergi Dairesi Müdürlüğü
AKSARAY;Güzelyurt;Güzelyurt Vergi Dairesi Müdürlüğü
AKSARAY;Sultanhanı;Sultanhanı Vergi Dairesi Müdürlüğü
AKSARAY;Sarıyahşi;Sarıyahşi Malmüdürlüğü
BAYBURT;Merkez;Bayburt Vergi Dairesi Müdürlüğü
BAYBURT;Aydıntepe;Aydıntepe Malmüdürlüğü
BAYBURT;Demirözü;Demirözü Malmüdürlüğü
KARAMAN;Merkez;Karaman Vergi Dairesi Müdürlüğü
KARAMAN;Ermenek;Ermenek Vergi Dairesi Müdürlüğü
KARAMAN;Sarıveliler;Sarıveliler Vergi Dairesi Müdürlüğü
KARAMAN;Ayrancı;Ayrancı Malmüdürlüğü
KARAMAN;Kazım Karabekir;Kazım Karabekir Malmüdürlüğü
KARAMAN;Başyayla;Başyayla Malmüdürlüğü
KIRIKKALE;Merkez;Irmak Vergi Dairesi Müdürlüğü
KIRIKKALE;Merkez;Kaletepe Vergi Dairesi Müdürlüğü
KIRIKKALE;Merkez;Kırakkale Vergi Dairesi Müdürlüğü
KIRIKKALE;Sulakyurt;Sulakyurt Şubesi
KIRIKKALE;Balışeyh;Balışeyh Şubesi
KIRIKKALE;Çelebi;Çelebi Şubesi
KIRIKKALE;Karakeçili;Karakeçili Şubesi
KIRIKKALE;Keskin;Keskin Vergi Dairesi Müdürlüğü
KIRIKKALE;Delice;Delice Vergi Dairesi Müdürlüğü
BATMAN;Merkez;Batman Vergi Dairesi Müdürlüğü
BATMAN;Merkez;Raman Vergi Dairesi Müdürlüğü
BATMAN;Beşiri;Beşiri Şubesi
BATMAN;Gercüş;Gercüş Şubesi
BATMAN;Hasankeyf;Hasankeyf Şubesi
BATMAN;Sason;Sason Şubesi
BATMAN;Kozluk;Kozluk Vergi Dairesi Müdürlüğü
ŞIRNAK;Merkez;Şırnak Vergi Dairesi Müdürlüğü
ŞIRNAK;Cizre;Cizre Vergi Dairesi Müdürlüğü
ŞIRNAK;Silopi;Silopi Vergi Dairesi Müdürlüğü
ŞIRNAK;Uludere;Uludere Vergi Dairesi Müdürlüğü
ŞIRNAK;İdil;İdil Vergi Dairesi Müdürlüğü
ŞIRNAK;Beytüşşebap;Beytüşşebap Malmüdürlüğü
ŞIRNAK;Güçlükonak;Güçlükonak Malmüdürlüğü
BARTIN;Merkez;Bartın Vergi Dairesi Müdürlüğü
BARTIN;Ulus;Ulus Vergi Dairesi Müdürlüğü
BARTIN;Amasra;Amasra Vergi Dairesi Müdürlüğü
BARTIN;Kurucaşile;Kurucaşile Malmüdürlüğü
ARDAHAN;Merkez;Ardahan Vergi Dairesi Müdürlüğü
ARDAHAN;Göle;Göle Vergi Dairesi Müdürlüğü
ARDAHAN;Çıldır;Çıldır Malmüdürlüğü
ARDAHAN;Damal;Damal Malmüdürlüğü
ARDAHAN;Hanak;Hanak Malmüdürlüğü
ARDAHAN;Posof;Posof Malmüdürlüğü
IĞDIR;Merkez;Iğdır Vergi Dairesi Müdürlüğü
IĞDIR;Tuzluca;Tuzluca Vergi Dairesi Müdürlüğü
IĞDIR;Aralık;Aralık Malmüdürlüğü
IĞDIR;Karakoyunlu;Karakoyunlu Malmüdürlüğü
YALOVA;Merkez;Yalova Vergi Dairesi Müdürlüğü
YALOVA;Çınarcık;Çınarcık Vergi Dairesi Müdürlüğü
YALOVA;Altınova;Altınova Vergi Dairesi Müdürlüğü
YALOVA;Armutlu;Armutlu Vergi Dairesi Müdürlüğü
KARABÜK;Merkez;Karabük Vergi Dairesi Müdürlüğü
KARABÜK;Merkez;Demirkent Vergi Dairesi Müdürlüğü
KARABÜK;Eflani;Eflani Şubesi
KARABÜK;Ovacık;Ovacık Şubesi
KARABÜK;Safranbolu;Safranbolu Vergi Dairesi Müdürlüğü
KARABÜK;Yenice;Yenice Vergi Dairesi Müdürlüğü
KARABÜK;Eskipazar;Eskipazar Vergi Dairesi Müdürlüğü
KİLİS;Merkez;Kilis Vergi Dairesi Müdürlüğü
OSMANİYE;Kadirli;Kadirli Vergi Dairesi Müdürlüğü
OSMANİYE;Düziçi;Düziçi Vergi Dairesi Müdürlüğü
OSMANİYE;Bahçe;Bahçe Vergi Dairesi Müdürlüğü
OSMANİYE;Toprakkale;Toprakkale Vergi Dairesi Müdürlüğü
OSMANİYE;Hasanbeyli;Hasanbeyli Malmüdürlüğü
OSMANİYE;Sumbas;Sumbas Malmüdürlüğü
DÜZCE;Merkez;Düzce Vergi Dairesi Müdürlüğü
DÜZCE;Akçakoca;Akçakoca Vergi Dairesi Müdürlüğü
DÜZCE;Gölyaka;Gölyaka Vergi Dairesi Müdürlüğü
DÜZCE;Kaynaşlı;Kaynaşlı Vergi Dairesi Müdürlüğü
DÜZCE;Gümüşova;Gümüşova Vergi Dairesi Müdürlüğü
DÜZCE;Cumayeri;Cumayeri Vergi Dairesi Müdürlüğü
DÜZCE;Çilimli;Çilimli Vergi Dairesi Müdürlüğü
DÜZCE;Yığılca;Yığılca Vergi Dairesi Müdürlüğü
